sample_id	original_column	file_project	platform	source_file	missing_fraction
TARGET-10-PANYXC-09A	TARGET-10-PANYXC-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0
TARGET-00-SJNORM016096-14A.3	TARGET-00-SJNORM016096-14A.3.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0
TARGET-15-SJMPAL042793-09A.3	TARGET-15-SJMPAL042793-09A.3.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0
TARGET-10-PASRMM-09A	TARGET-10-PASRMM-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0
TARGET-15-SJMPAL016340-09A	TARGET-15-SJMPAL016340-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0
TARGET-15-SJMPAL046466-09A	TARGET-15-SJMPAL046466-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0
TARGET-10-PARAMR-09A	TARGET-10-PARAMR-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0
TARGET-15-SJMPAL016447-09A.2	TARGET-15-SJMPAL016447-09A.2.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0
TARGET-20-SJAML040268-09A	TARGET-20-SJAML040268-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0
TARGET-15-SJMPAL012417-09A	TARGET-15-SJMPAL012417-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0
TARGET-10-PARMGY-09A	TARGET-10-PARMGY-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0
TARGET-15-SJMPAL012424-03A.2	TARGET-15-SJMPAL012424-03A.2.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0
TARGET-10-PASHNK-09A	TARGET-10-PASHNK-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0
TARGET-15-SJMPAL012425-09A.1	TARGET-15-SJMPAL012425-09A.1.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0
TARGET-15-SJMPAL046470-09A.1	TARGET-15-SJMPAL046470-09A.1.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0
TARGET-15-SJMPAL016447-09A.1	TARGET-15-SJMPAL016447-09A.1.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0
TARGET-10-PAPIGH-09A	TARGET-10-PAPIGH-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0
TARGET-10-PANRIM-03A	TARGET-10-PANRIM-03A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0
TARGET-15-SJMPAL042793-09A.2	TARGET-15-SJMPAL042793-09A.2.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0
