sample_id	original_column	file_project	platform	source_file	missing_fraction	UMAP1	UMAP2
TARGET-15-SJMPAL042793-09A.1	TARGET-15-SJMPAL042793-09A.1.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	12.512666	3.5600045
TARGET-00-SJNORM054698-14A.2	TARGET-00-SJNORM054698-14A.2.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	12.596072	1.9670197
TARGET-20-SJAML045734-09A	TARGET-20-SJAML045734-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	9.856696	1.7010276
TARGET-10-PATHBG-09A	TARGET-10-PATHBG-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	11.940075	2.4977422
TARGET-15-SJMPAL016342-09A	TARGET-15-SJMPAL016342-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	10.619692	1.5468689
TARGET-15-SJMPAL046470-09A	TARGET-15-SJMPAL046470-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	12.180456	1.5540625
TARGET-10-PATXKD-09A	TARGET-10-PATXKD-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	12.44624	2.6906369
TARGET-10-PATGBY-09A	TARGET-10-PATGBY-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	13.007551	2.6247547
TARGET-15-SJMPAL040037-09A.1	TARGET-15-SJMPAL040037-09A.1.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	12.557851	2.81224
TARGET-10-PASWFN-09A	TARGET-10-PASWFN-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	12.346469	2.2438245
TARGET-20-SJAML007113-09A	TARGET-20-SJAML007113-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	12.847969	3.1849253
TARGET-20-SJAML045740-09A	TARGET-20-SJAML045740-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	12.947447	3.3908937
TARGET-15-SJMPAL040024-09A.3	TARGET-15-SJMPAL040024-09A.3.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	13.121555	2.4381816
TARGET-10-PASFLK-09A	TARGET-10-PASFLK-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	11.371784	2.0441256
TARGET-20-SJAML003320-09A	TARGET-20-SJAML003320-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	11.650595	2.4480023
TARGET-10-PARXLS-09A	TARGET-10-PARXLS-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	13.343852	2.788962
TARGET-15-SJMPAL012420-09A.2	TARGET-15-SJMPAL012420-09A.2.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	11.149811	1.6124219
TARGET-15-SJMPAL016108-09A	TARGET-15-SJMPAL016108-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	11.276851	2.1060543
TARGET-10-PATRGV-09A	TARGET-10-PATRGV-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	12.234014	2.3944652
TARGET-00-SJNORM018231-17A.1	TARGET-00-SJNORM018231-17A.1.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	13.453925	1.9197294
