id	filename	md5	size	state
5991c0a7-375c-43c9-b85b-b936af5aa645	996af68b-a610-4e78-8836-6329ab42380d.rna_seq.augmented_star_gene_counts.tsv	c21c1dca257e569473c748b719255ef4	4217758	released
5f1a2f31-37db-4e73-8dc3-69074c704f29	1b93133b-c115-4e16-acd7-4577c2cb7c45.rna_seq.augmented_star_gene_counts.tsv	cfbe0ad20f1363403d67c57281bf0dee	4213908	released
bb60e532-661b-411a-ba33-15b9b2f5006e	09a055dd-5b57-46c8-929a-abbcb67f0c55.rna_seq.augmented_star_gene_counts.tsv	7fada8066129a0c47ac7fbc3c8c668a5	4215543	released
d0c068f2-2501-4555-8d5d-5e8f7b17e199	a702b478-c5e5-471d-a245-05b86ee748f0.rna_seq.augmented_star_gene_counts.tsv	0ed33f45b28dac4d824f59eafc574e37	4230588	released
87c84b7c-42bb-4010-ba47-90dec5fe41d5	4f74fb45-d9a0-4a73-a62f-c8f2f9606124.rna_seq.augmented_star_gene_counts.tsv	a679bb42ad615b0c90a4d2f82e2f5c4d	4228780	released
314f1278-6f36-45b0-96ce-872359c901a1	f9507015-b4a6-4840-9669-3eeb2692467b.rna_seq.augmented_star_gene_counts.tsv	117567252a7b8e775a90adce9caf6e30	4212913	released
29fd1651-9b70-499a-b176-e0888a8c075c	01087dd7-617a-4a9f-b8f9-3f4dd8f60be1.rna_seq.augmented_star_gene_counts.tsv	e1dca88f036ebf71298c102c05a7404b	4243136	released
8b773107-b6df-4089-b9c1-f369822df194	7631e6c3-19ca-4a1d-bb88-0328eb0a7eaf.rna_seq.augmented_star_gene_counts.tsv	31ad91d07e1a3aba8f1278bf1b0eb60f	4229122	released
16bde542-3270-4bee-8fe5-fbce43f9758e	3baa81d6-0e91-4592-b22e-301859ed17fa.rna_seq.augmented_star_gene_counts.tsv	c24416aff587ea765cf5807dee967208	4214191	released
c18ed10a-10ac-434b-b5bd-b171d5f1a298	67b797d0-c120-42f3-9567-b5cbfe538bb3.rna_seq.augmented_star_gene_counts.tsv	7795ca5cf592aadacb7c499daf28f01e	4216200	released
7cfaa3e9-010c-4d85-a681-9116baf358c3	c5e4ae8a-8009-4dce-bfca-165a2158dcd1.rna_seq.augmented_star_gene_counts.tsv	984e1b3aa56749e6b8c09afefc6d0a14	4213996	released
8863cba5-ac47-49b3-9a11-f96fe01c97a9	2efc7980-2363-469f-8733-d7172c546ae1.rna_seq.augmented_star_gene_counts.tsv	4e0242c329a49c7aabbda36965cef6da	4216678	released
533dcc26-af19-411c-8c48-9c0730756279	ed9cc7b0-ecaa-4b35-bc40-bc38e542be36.rna_seq.augmented_star_gene_counts.tsv	61cc50e230cf6d52342fe1a68e224c3a	4222054	released
61efe447-cff3-4024-a58d-711aef069e33	18b1c904-e1e5-42bc-b4d4-157ebb1ef6bd.rna_seq.augmented_star_gene_counts.tsv	e574f83d0d102878182f3098a8f82542	4218457	released
306d9b3d-7ab9-406d-9fd6-049af60691ed	4a91191e-b4dc-4e4e-9713-3c180aca2041.rna_seq.augmented_star_gene_counts.tsv	2d86ddb57bf1a5b390e4abb5a803f04b	4214348	released
2e2a1936-46c4-4a7c-b292-fc43aca17534	27f1c64f-193e-4334-a5ec-a8f27bd15d93.rna_seq.augmented_star_gene_counts.tsv	fbe1fac0a06d63330d9e0975946ac108	4210549	released
6e85ca5c-23c7-4e68-a3bb-c9008040f772	2853855d-dd0e-4a02-835d-8a43450717f6.rna_seq.augmented_star_gene_counts.tsv	2fd31a45dd769c8bc1e33ad28767ebd6	4215423	released
3ebbc759-f60e-4da7-94e2-04a82c4e2277	3246fc74-2cd1-413f-9d24-390af47e5d59.rna_seq.augmented_star_gene_counts.tsv	ec304c21d3748999c0138aed94058f43	4230728	released
20cda179-4ab2-4e5b-8111-3404df8eee4a	1b661b46-976f-4feb-b807-6cb95f90b13a.rna_seq.augmented_star_gene_counts.tsv	dcfc5bac87dab9877ffc08734adcffcb	4212812	released
aa53f43c-daec-44dd-a8cb-59faf7d6da28	6a05864c-e495-4005-a926-9784c1d20093.rna_seq.augmented_star_gene_counts.tsv	6e18483b238bb160947d92f524c421ab	4219202	released
121bbf2b-d705-4ca8-a8fe-48fb040ecc34	1dcd9376-87d9-4b01-94fa-397d6dba4936.rna_seq.augmented_star_gene_counts.tsv	44e4d7ffd77ba1e2b21b896e9a9e1b2e	4237603	released
785bf0aa-9cac-469d-9ffd-15f552bf76bb	63859e4c-a363-4c0c-829a-7343b8efe4c0.rna_seq.augmented_star_gene_counts.tsv	953dcacabf87663a8eb9c72ce04f75cf	4223026	released
f815a4c7-9e0d-4410-aab8-4827dc74fd0a	2fa3734c-b079-4c85-a0b8-df261e5ea8b0.rna_seq.augmented_star_gene_counts.tsv	5b0a54aa11752eab441ae08f8b5fc92e	4199872	released
7ad04588-7f82-4bfd-a15f-27f62b611768	fb7963c1-e70d-4d91-a749-1165308c75cc.rna_seq.augmented_star_gene_counts.tsv	e08f479f4380b7c8684370510dd34646	4210394	released
490efd3e-a1f4-4d9b-bab4-4406b7799f9a	c97a43df-cea0-4eac-b3e7-a8c2d4d3b778.rna_seq.augmented_star_gene_counts.tsv	234df946cb706ed984ec5daff66c6969	4216483	released
bc2913cc-b0ba-4276-bd6a-859456b004ff	18842da6-0680-4a50-aca6-277391d34944.rna_seq.augmented_star_gene_counts.tsv	67a17a2b789b1599d5d3ad8988410e26	4224642	released
5eee78d0-38a7-49ba-b3d6-395a54991947	5f11f345-99da-41a3-bc94-c156b7f4dfac.rna_seq.augmented_star_gene_counts.tsv	9c3dccdce0c7111cdbb273a253da59b4	4238987	released
1a2fcd14-0318-4346-9fb9-6ee56f0ac132	9f6f2003-f5a4-4a4d-956e-e0466163e84a.rna_seq.augmented_star_gene_counts.tsv	bf087a622910481ce50dbc24e5338df5	4213463	released
8ee96306-fda2-4022-85c9-2b2d2e2f4a2f	c81ee862-8b8d-4029-bca6-28633db49666.rna_seq.augmented_star_gene_counts.tsv	d5eded78acc6d356b6a1596a3e027938	4212414	released
7b17442e-c820-478f-9968-13c8d07e4980	d6773f35-7005-423c-a619-b0f42d2d778f.rna_seq.augmented_star_gene_counts.tsv	d029969c2b554719f717ccb6ada4d46d	4199700	released
b97e491f-e795-4ec5-9c51-0266a1e89a06	f27099c7-1a78-44fb-8fb7-605f5a8234ee.rna_seq.augmented_star_gene_counts.tsv	c8327ccb48eb52997847bbca4f27a3ca	4226404	released
6e00f926-281f-4d64-99a9-d33101529bcd	b72e56c9-0b63-4bce-83b7-9cf40007d67c.rna_seq.augmented_star_gene_counts.tsv	fd3848ad85a338f1b3e99f78f58fdf68	4215803	released
53101924-8766-4833-968c-86d92b3fc321	093061f5-b44d-454b-97ad-1e2e2e10f56b.rna_seq.augmented_star_gene_counts.tsv	6f7d344187330378b12f2baf210b9284	4227428	released
f147eb09-2510-4668-bfc0-9aa3cc7a7873	f9a55dec-cf49-452a-a5b8-600191a3365b.rna_seq.augmented_star_gene_counts.tsv	a22a2486fd24dc18fa6cfdb9be5dae4e	4222345	released
71fb24f1-99a4-4ee3-a8a1-8b50d8f231c6	d973c962-8f95-4622-8eb6-0ef21f7c0d15.rna_seq.augmented_star_gene_counts.tsv	e43b53cb4c549ee19b09eac7a3cec9b1	4229788	released
f56f3c92-14f8-40ce-b580-d59f35d52c60	cbf1fc9f-0492-48d2-be3f-7016d5a0b508.rna_seq.augmented_star_gene_counts.tsv	bd6d5067b8fb69b32e8fad0c0e057891	4220092	released
f7f2b6b5-02e4-4cb6-b94f-4670a0c0269e	d08107fa-60dd-4ee5-b835-badfb5e3ad6c.rna_seq.augmented_star_gene_counts.tsv	432cdd5e4c9ed318b7cceb4a3a1c31c6	4191576	released
cfe73ac8-177e-4433-8460-2cb0b6dfeb94	29821746-da79-4587-aaa0-de3ac6b66cd0.rna_seq.augmented_star_gene_counts.tsv	05e91fa4059a8635880d63c94a06c287	4217037	released
