sample_id	original_column	file_project	platform	source_file	missing_fraction	UMAP1	UMAP2
TARGET-20-PALGKX-04A	TARGET-20-PALGKX-04A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-1.3323152	13.930041
TARGET-20-PARSAN-14A	TARGET-20-PARSAN-14A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-4.23133	14.307496
TARGET-20-PABLDZ-04A	TARGET-20-PABLDZ-04A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-4.4199576	14.801202
TARGET-20-PAKIWK-09A	TARGET-20-PAKIWK-09A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-5.2158604	13.571856
TARGET-21-PASDXR-14A	TARGET-21-PASDXR-14A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-1.2244276	13.846617
TARGET-20-PARUBT-09A	TARGET-20-PARUBT-09A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-3.8902614	14.857326
TARGET-20-PARBIU-09A	TARGET-20-PARBIU-09A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-1.0049633	14.115295
TARGET-20-PASCGR-04A	TARGET-20-PASCGR-04A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-5.5136404	13.36437
TARGET-20-PATKJB-14A	TARGET-20-PATKJB-14A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-5.4954724	13.377914
TARGET-20-PARFXF-09A	TARGET-20-PARFXF-09A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-5.476804	13.387034
TARGET-21-PAMYMA-09A	TARGET-21-PAMYMA-09A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-0.27109405	14.230615
TARGET-21-PANVPB-09A	TARGET-21-PANVPB-09A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-0.7815148	14.232774
TARGET-20-PASHHH-09A	TARGET-20-PASHHH-09A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-3.670267	14.792423
TARGET-20-PARNZW-09A	TARGET-20-PARNZW-09A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-4.232288	15.019978
TARGET-20-PARFXF-14A	TARGET-20-PARFXF-14A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-5.1575494	13.642102
TARGET-20-PAPBEJ-09A	TARGET-20-PAPBEJ-09A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-4.6053686	14.15248
TARGET-20-PAPVZK-40A	TARGET-20-PAPVZK-40A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-1.4694084	14.260833
TARGET-20-PAPXRJ-14A	TARGET-20-PAPXRJ-14A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-5.4920564	13.386655
TARGET-21-PATISD-14A	TARGET-21-PATISD-14A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-0.39997688	13.856454
TARGET-20-PARCEC-14A	TARGET-20-PARCEC-14A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-3.729448	14.938383
TARGET-20-PAKERZ-04A	TARGET-20-PAKERZ-04A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-5.0472016	13.6944475
TARGET-21-PASTZK-09A	TARGET-21-PASTZK-09A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-0.24303186	13.882663
TARGET-20-PAEIKD-04A	TARGET-20-PAEIKD-04A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-4.0468655	14.582038
TARGET-21-PASIGA-09A	TARGET-21-PASIGA-09A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-0.42709732	14.172404
TARGET-21-PATKBK-03A	TARGET-21-PATKBK-03A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-0.37929672	13.942071
TARGET-20-PASJTM-09A	TARGET-20-PASJTM-09A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-4.233984	14.584905
TARGET-20-PARUBT-40A	TARGET-20-PARUBT-40A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-3.8652296	14.893616
TARGET-20-PASCGR-03A	TARGET-20-PASCGR-03A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-4.246399	14.560013
TARGET-20-PARUCB-14A	TARGET-20-PARUCB-14A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-1.7165593	13.487581
TARGET-20-PASPLU-09A	TARGET-20-PASPLU-09A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-0.43562818	13.979493
TARGET-20-PANLRE-14A	TARGET-20-PANLRE-14A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-1.8654047	13.937711
TARGET-20-PASTTW-09A	TARGET-20-PASTTW-09A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-3.406863	14.280262
TARGET-20-PARPDS-14A	TARGET-20-PARPDS-14A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-5.5243134	13.349145
TARGET-20-PASMHY-03A	TARGET-20-PASMHY-03A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-1.3680781	14.177165
TARGET-20-PAKVGI-14A	TARGET-20-PAKVGI-14A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-4.4732146	14.238407
TARGET-20-PASZLJ-09A	TARGET-20-PASZLJ-09A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-4.2653136	14.986073
TARGET-20-PANDIX-04A	TARGET-20-PANDIX-04A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-5.214259	13.573048
TARGET-20-PAEERJ-03A	TARGET-20-PAEERJ-03A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-4.3292017	15.058061
TARGET-21-PATKWH-09A	TARGET-21-PATKWH-09A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-0.092721544	14.466352
